generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
2,4.426864,18.8,-28.574900,3.5,0.001758,2.9,-20.675704,0.6,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]","[{'functional_group': 'carbonyl', 'smiles_inds': [1]}, {'functional_group': 'carboxylate', 'smiles_inds': [8]}, {'functional_group': 'phenyl', 'smiles_inds': [2]}]"
2,7.221420,32.2,-5.344990,49.6,0.000334,0.9,-0.010050,99.7,CC1=NN=C(S1)C1=NN=C(C)S1,"[3, 7]",[]
2,7.350646,32.8,-9.210072,34.8,0.001659,2.3,-3.223347,41.2,OC(=O)c1ccnc(c1)c1cc(ccn1)C(O)=O,"[14, 6]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [4]}]"
2,7.728737,35.1,-26.676590,3.5,0.017007,25.5,-22.028317,0.3,[NH3+]CCNC(=O)c1ccnc(c1)c1cc(C)ccn1,"[18, 9]",[]
2,7.770538,35.9,-5.912090,47.5,0.000548,1.4,-3.537761,38.3,Oc1ccccc1c1ccnc(c1)c1ccccn1,"[18, 10]",[]
2,7.770742,36.2,-2.740791,70.7,0.000410,0.9,-4.905135,29.0,Fc1cc(F)cc(c1)C1=N[N-]C(=N1)c1ccccn1,"[18, 10]",[]
2,7.841667,36.5,-3.228979,64.9,0.000898,2.0,-7.621167,16.2,CN([O-])C(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,"[2, 4]",[]
2,8.250371,41.2,-3.775049,59.7,0.001331,2.0,-3.558418,38.3,Nc1nc([S-])c2N=CNc2n1,"[4, 6]",[]
2,8.709184,42.3,-3.825599,59.4,0.001064,2.0,-10.986765,5.5,CCCN(CCC)C([S-])=NC(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,"[8, 11]","[{'functional_group': 'hydroxyl', 'smiles_inds': [5]}, {'functional_group': 'tribromo', 'smiles_inds': [2]}, {'functional_group': 'hydroxyl', 'smiles_inds': [0]}]"
2,9.314093,46.4,-6.318284,46.1,0.009141,16.5,-22.416078,0.3,OCc1ccc(cn1)c1ccc(cc1)C(=O)[O-],"[0, 7]",[]
2,17.820652,75.4,-8.826103,35.9,0.001560,2.3,-0.845486,80.6,O=C1N(Cc2ccc(CN(Cc3ccccn3)Cc3ccccn3)cc2)C(=O)c2ccccc12,"[9, 16, 23]",[]
2,186.452999,99.4,-97.190585,0.6,0.025596,35.7,-6.276125,20.9,[NH2+]1C2[NH2+]C1C1C34OC1(O3)C24,"[0, 2]",[]
2,2360.333659,99.7,-80.001649,0.6,0.024933,35.1,-6.268504,20.9,c1cc([c-]c(c1)C12N=CC3C4C1[S+2]234)C12N=CC3C4C1[S+2]234,"[7, 14, 3]","[{'functional_group': 'carboxyl', 'smiles_inds': [10]}]"
3,0.066466,0.0,-6.681187,42.9,0.061268,58.3,-1.127101,73.6,c1cc(nc(c1)C1=NN=N[N-]1)C1=NN=N[N-]1,"[10, 3, 15]","[{'functional_group': 'carbonyl', 'smiles_inds': [1]}, {'functional_group': 'ethyl', 'smiles_inds': [0]}]"
3,0.066466,0.0,-6.681187,42.9,0.061268,58.3,-1.127101,73.6,c1cc(nc(c1)C1=NN=N[N-]1)C1=NN=N[N-]1,"[10, 3, 15]","[{'functional_group': 'carboxyl', 'smiles_inds': [5]}]"
3,0.099537,0.5,-2.106378,76.8,0.022454,29.4,-3.834332,35.1,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
3,0.104408,0.7,-6.724936,42.9,0.021425,28.4,-0.261647,93.1,O=C(C1=NC=CN1)C1=NC=CN1,"[3, 8]","[{'functional_group': 'cyano', 'smiles_inds': [10]}]"
3,0.242619,0.9,-9.278987,32.8,0.001600,2.8,-0.355754,90.4,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
3,0.295598,1.4,-3.568445,61.5,0.112689,71.8,-3.126140,42.2,S=C1NC(=C(N=C1[S-])C#N)C#N,"[0, 7]","[{'functional_group': 'carboxylate', 'smiles_inds': [2]}]"
3,0.347258,1.6,-6.616192,42.9,0.057434,56.7,-0.427201,89.0,C(NCc1ccccn1)c1ccccn1,"[14, 1, 8]","[{'functional_group': 'ketone', 'smiles_inds': [7]}, {'functional_group': 'cyano', 'smiles_inds': [6]}]"
3,0.380136,1.8,-6.488847,43.1,0.044110,50.2,-2.256407,53.2,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxylate', 'smiles_inds': [4]}]"
3,0.405812,2.1,-5.513495,47.0,0.177956,78.0,-2.272663,52.8,CSCCC(O)(C1=NC=CN1C)C1=NC=CN1C,"[7, 13]",[]
3,0.435392,2.3,-5.593466,46.8,0.013225,19.0,-1.588428,66.3,C[Si](C)(C)CSc1cccc2cccnc12,"[5, 14]",[]
3,0.503007,2.5,-9.825666,31.7,0.224310,80.3,-5.058064,28.2,CN1C(CCC1=O)c1cccnc1,[11],"[{'functional_group': 'bromo', 'smiles_inds': [10]}]"
3,0.504084,2.8,-6.542427,43.1,0.016128,22.5,-1.719110,63.3,N1C=NC(=N1)c1cnccn1,"[2, 10]",[]
3,0.523548,3.0,-2.833868,68.6,0.041725,49.3,-1.984737,59.2,CC(C)=CCC1=C([O-])C(=O)c2ccccc2C1=O,"[9, 7]",[]
3,0.840346,3.7,-6.161649,44.5,0.100993,70.2,-4.086619,33.9,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'bromo', 'smiles_inds': [18]}]"
3,0.991059,4.8,-1.316873,88.8,0.155116,77.5,-5.686581,23.9,Brc1ccc([O-])c(C=NNc2ccccn2)c1,"[5, 8, 15]","[{'functional_group': 'carboxylate', 'smiles_inds': [13]}, {'functional_group': 'hydroxyl', 'smiles_inds': [3]}, {'functional_group': 'amino', 'smiles_inds': [14]}]"
3,1.033306,5.0,-2.334714,75.0,0.011567,17.4,-4.628187,31.0,CC(N)c1cccc[c-]1,"[2, 8]",[]
3,1.118449,5.5,-6.023027,45.4,0.011219,17.2,-1.540852,66.7,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'trichloro', 'smiles_inds': [8]}, {'functional_group': 'aldehyde', 'smiles_inds': [4]}]"
3,1.236492,6.2,-2.317456,75.5,0.483724,90.8,-11.133808,5.7,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'phenyl', 'smiles_inds': [22]}]"
3,1.299434,6.7,-2.468262,73.4,0.003365,4.8,-2.944266,43.1,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
3,1.299434,6.7,-2.468262,73.4,0.003365,4.8,-2.944266,43.1,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]","[{'functional_group': 'carboxylate', 'smiles_inds': [0]}, {'functional_group': 'ketone', 'smiles_inds': [1]}]"
3,1.300710,7.1,-5.938484,45.9,0.006529,10.6,-3.027383,42.4,C1NCC2=C1OC(=N2)c1ccccn1,"[7, 13]","[{'functional_group': 'aldehyde', 'smiles_inds': [10]}]"
3,1.601476,8.7,-8.431642,35.3,0.023027,29.6,-0.521116,85.8,NN1C(=O)NN=C1C1=NN=NN1,"[8, 0]","[{'functional_group': 'chloro', 'smiles_inds': [11]}]"
3,1.782917,8.9,-5.866588,45.9,0.005511,9.4,-0.915232,79.4,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ketone', 'smiles_inds': [5]}, {'functional_group': 'tribromo', 'smiles_inds': [17]}]"
3,1.848490,9.4,-3.582591,61.0,0.062041,58.3,-6.673078,18.6,Fc1c(F)c(F)c([N-]CC[NH2+]CC[N-]c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,"[7, 13, 10]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [12]}]"
3,2.218947,10.6,-10.649903,27.8,0.022773,29.4,-2.321919,52.3,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': 'tribromo', 'smiles_inds': [8]}]"
3,2.479582,11.9,-30.255216,5.3,0.038869,47.2,-2.975372,42.9,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'thiol', 'smiles_inds': [0]}, {'functional_group': 'cyano', 'smiles_inds': [6]}]"
3,3.037966,12.6,-6.027194,45.4,0.014842,20.4,-1.194331,72.7,N1C(=NN=C1c1cccc(n1)C1=NN=C(N1)c1ccncc1)c1ccncc1,"[3, 10, 12]","[{'functional_group': 'phosphonate', 'smiles_inds': [24]}]"
3,3.084391,13.1,-1.667300,82.8,0.292699,83.0,-8.526773,13.1,CCCNCCN=Cc1c([O-])ccc2ccccc12,"[10, 6, 3]","[{'functional_group': 'ketone', 'smiles_inds': [16]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [12]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [7]}]"
