generation,sco_kcal,sco_kcal_percentile,octanol_gsolv_eV,octanol_gsolv_eV_percentile,octanol_hl_gap_eV,octanol_hl_gap_eV_percentile,octanol_dipole,octanol_dipole_percentile,SMILES,coordList,functionalization
2,14.713784,66.7,-6.480386,41.7,0.116096,65.2,-8.117469,10.3,CN1C=CC(=C([O-])C1=O)C(=O)NCCCCCCNC(=O)c1ccc(C(=O)NCCCCCCNC(=O)C2=C([O-])C(=O)N(C)C=C2)c([O-])c1[O-],"[8, 6, 49, 47, 39, 41]","[{'functional_group': 'phenyl', 'smiles_inds': [14]}]"
2,15.494202,69.6,-11.188382,25.0,0.105380,64.7,-5.231998,21.6,CC1=C(C(=NN1)C)N(=O)=O,[4],[]
2,20.854479,80.4,-7.111183,39.2,0.010227,15.2,-6.678875,14.2,CCCN1c2ccc(cc2N=C2C(=O)N(C)C(=O)N=C12)C(O)=O,"[10, 13]","[{'functional_group': 'carboxyl', 'smiles_inds': [5]}, {'functional_group': 'fluoro', 'smiles_inds': [0]}, {'functional_group': '2-hydroxypyridine', 'smiles_inds': [8]}]"
2,21.455213,81.4,-7.111318,39.2,0.206470,76.0,-6.264316,15.7,CN1C=CN=C1CN(CC1=NC=CN1C)S(C)(=O)=O,"[4, 10, 7]",[]
2,26.134691,89.2,-3.318816,58.3,0.004495,7.4,-7.219097,12.3,O1C(=NN=C1c1ccc([c-]c1)c1ccccn1)c1ccccc1,"[9, 16]","[{'functional_group': 'methyl', 'smiles_inds': [18]}, {'functional_group': 'ether', 'smiles_inds': [13]}]"
3,0.001979,0.0,-1.239367,87.3,0.674861,93.3,-4.981966,24.2,CC(=NN=C([O-])c1ccc(Cl)cc1)c1ccccn1,"[18, 2, 5]",[]
3,0.004499,0.4,-5.993636,42.1,0.732184,93.7,-2.688255,46.8,CSCCC1=CNC(=N1)CC1=NC=CN1,"[1, 8, 11]",[]
3,0.099537,0.8,-2.106378,69.8,0.022454,30.2,-3.834332,32.5,C1CN=C(CN2[C-]=Cc3ccccc23)O1,"[6, 2]",[]
3,0.124234,1.2,-2.618486,65.5,0.027975,35.3,-3.358784,37.7,COc1cc(F)c(c(F)c1)c1cccc(n1)C(N(Cc1ccccn1)Cc1ccccn1)c1cccc(n1)c1c(F)cc(OC)cc1[O-],"[24, 17, 31, 37, 15, 47]","[{'functional_group': 'phenyl', 'smiles_inds': [28]}]"
3,0.154897,1.6,-5.847674,42.9,0.010464,15.9,-0.660264,84.5,CN1C=CN=C1C=NCC(C)(CN=CC1=NC=CN1C)CN=CC1=NC=CN1C,"[7, 21, 4, 24, 12, 15]","[{'functional_group': 'carboxylate', 'smiles_inds': [10]}]"
3,0.190964,2.0,-6.885441,39.3,0.124436,68.7,-2.163047,55.6,NC(=NN1C(Nc2ccccc2C1=O)C1=NC=CN1)c1cc(ccn1)c1ccccc1,"[24, 2, 15]","[{'functional_group': 'ketone', 'smiles_inds': [29]}, {'functional_group': 'ethyl', 'smiles_inds': [22]}]"
3,0.242619,2.4,-9.278987,31.3,0.001600,1.6,-0.355754,91.7,Cc1cc2N=C(Nc2c(c1C)N(=O)=O)C1=Nc2cc(C)c(C)c(c2N1)N(=O)=O,"[4, 15]",[]
3,0.278356,2.8,-2.916351,60.7,0.039687,43.3,-1.601156,63.5,N=C(c1ccccc1)C1=C([O-])c2ccccc2OC1=O,"[10, 0]",[]
3,0.380136,3.6,-6.488847,40.5,0.044110,46.8,-2.256407,54.4,CC1=NC(=CN1)C=NC1CCCCC1N,"[2, 7, 14]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [13]}, {'functional_group': 'ether', 'smiles_inds': [0]}]"
3,0.399951,4.0,-6.077901,42.1,0.167541,75.0,-6.768121,15.1,[S-]C(C#N)=C(SC(C#N)=C([S-])C#N)C#N,"[0, 5, 10]",[]
3,0.781286,5.6,-6.327742,41.3,0.035140,40.9,-4.328542,31.3,CC1=NC(=CN1)C=NCC(CO)(CN=CC1=CNC(=N1)C)CN=CC1=CNC(=N1)C,"[7, 2, 13, 19, 22, 28]",[]
3,0.781286,5.6,-6.327742,41.3,0.035140,40.9,-4.328542,31.3,CC1=NC(=CN1)C=NCC(CO)(CN=CC1=CNC(=N1)C)CN=CC1=CNC(=N1)C,"[7, 2, 13, 19, 22, 28]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [16]}]"
3,0.781286,5.6,-6.327742,41.3,0.035140,40.9,-4.328542,31.3,CC1=NC(=CN1)C=NCC(CO)(CN=CC1=CNC(=N1)C)CN=CC1=CNC(=N1)C,"[7, 2, 13, 19, 22, 28]","[{'functional_group': '2-hydroxypyridine', 'smiles_inds': [4]}, {'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [21]}, {'functional_group': '2-hydroxypyridine', 'smiles_inds': [16]}]"
3,0.918396,6.7,-6.025390,42.1,0.008856,15.5,-1.558560,63.9,c1ccc(cc1)c1cccnn1,[10],"[{'functional_group': 'fluoro', 'smiles_inds': [9]}, {'functional_group': 'bromo', 'smiles_inds': [1]}, {'functional_group': 'tribromo', 'smiles_inds': [2]}]"
3,1.084625,7.1,-6.425912,40.5,0.154923,73.4,-6.906914,14.7,CC(C)(C)c1cc(C[NH+]2CCCCC2)c([O-])c(C=NCCSCCSCCN=Cc2cc(cc(C[NH+]3CCCCC3)c2[O-])C(C)(C)C)c1,"[27, 21, 18, 42, 15, 24]",[]
3,1.228031,7.9,-7.050082,38.5,5.425388,100.0,-0.429757,89.7,CN(CCN)CCN,"[4, 1, 7]",[]
3,1.236492,8.7,-2.317456,68.3,0.483724,89.7,-11.133808,2.8,O=C1c2ccccc2C(=O)c2c(cccc12)[N-]Cc1ccccn1,"[23, 9, 16]","[{'functional_group': 'carboxyllic_acid', 'smiles_inds': [22]}, {'functional_group': 'chloro', 'smiles_inds': [13]}, {'functional_group': 'carboxyllic_acid', 'smiles_inds': [12]}]"
3,1.299434,9.1,-2.468262,67.5,0.003365,4.0,-2.944266,43.7,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]",[]
3,1.299434,9.1,-2.468262,67.5,0.003365,4.0,-2.944266,43.7,c1ccc(nc1)C1=NN=C[N-]1,"[4, 10]","[{'functional_group': 'tribromo', 'smiles_inds': [5]}]"
3,1.326617,9.9,-2.699208,65.5,0.095422,64.3,-7.047205,14.3,Cc1ncc(CO)c(C=NCN(CN=Cc2c(CO)cnc(C)c2[O-])CN=Cc2c(CO)cnc(C)c2[O-])c1[O-],"[39, 9, 37, 26, 24, 13]","[{'functional_group': 'amino', 'smiles_inds': [35]}]"
3,1.671939,11.1,-6.538844,40.5,0.104956,67.1,-2.313868,53.6,CC(C)(C)CC1=CC(=NN1)c1cccc(n1)C1=NNC(=C1)CC(C)(C)C,"[8, 15, 17]","[{'functional_group': '2-methylbenzoic_acid', 'smiles_inds': [18]}]"
3,1.696438,11.9,-10.745211,26.2,0.011819,19.0,-3.811590,32.9,O=N(=O)C1=CC=C(S1)C1=CC=C(S1)C#N,[14],[]
3,1.782917,12.3,-5.866588,42.9,0.005511,9.9,-0.915232,77.0,N1c2ccccc2c2ccnc(C3=Nc4ccccc4S3)c12,"[13, 10]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [2]}, {'functional_group': 'tribromo', 'smiles_inds': [5]}]"
3,1.961467,13.1,-2.505272,67.1,0.032954,38.1,-7.761293,11.5,O=Cc1ccc(C=NC2CCCCC2)[c-]c1,"[7, 14]",[]
3,2.153833,13.9,-10.764141,26.2,0.011538,18.7,-2.455551,52.0,CN1C(=C(N)C(=O)N(C)C1=O)N,"[11, 4]","[{'functional_group': 'trifluro', 'smiles_inds': [0]}]"
3,2.319572,14.7,-6.131517,41.7,0.107044,67.1,-4.403020,30.6,S=C(NCCc1ccccc1)NN=Cc1ccccn1,"[0, 19, 12]","[{'functional_group': 'phenyl', 'smiles_inds': [11]}]"
3,2.870561,15.5,-1.681463,80.6,0.291708,79.4,-8.637019,10.3,CCCNCCN=Cc1c([O-])ccc2ccccc12,"[10, 6, 3]","[{'functional_group': 'fluoro', 'smiles_inds': [16]}, {'functional_group': 'ethyl', 'smiles_inds': [1]}, {'functional_group': 'cyanimide', 'smiles_inds': [17]}]"
3,3.265212,17.1,-2.329460,68.3,0.013326,19.4,-4.620309,28.2,CC(N)c1cccc[c-]1,"[2, 8]",[]
3,3.344142,17.5,-30.222870,1.6,0.036769,41.7,-3.251027,39.7,NC1=NC2=[NH+]CCN=C2C(=O)N1,"[10, 7]","[{'functional_group': 'carboxyl', 'smiles_inds': [0]}]"
3,3.374271,17.9,-2.318499,68.3,0.021650,29.8,-4.690687,28.2,Brc1cc(Br)c([O-])c(C=NC2CCC2)c1,"[9, 6]","[{'functional_group': 'amide', 'smiles_inds': [2]}]"
3,3.447286,18.3,-7.703014,35.3,0.066109,57.1,-4.592623,28.2,OC(=O)CN1C=NN=N1,[6],"[{'functional_group': 'tribromo', 'smiles_inds': [5]}]"
3,3.499803,19.4,-6.103124,42.1,0.306866,81.0,-8.490472,10.7,CN(C)C([S-])=NN=Cc1cc(I)cc(I)c1[O-],"[4, 6, 16]",[]
3,3.930392,20.6,-5.736298,42.9,0.074873,59.5,-11.305167,2.8,c1ccc(nc1)c1cc(cc(n1)c1ccccn1)c1ccc(cc1)c1cc(nc(c1)c1ccccn1)c1ccccn1,"[17, 11, 4]","[{'functional_group': 'ethyl_ester', 'smiles_inds': [20]}]"
3,4.659037,23.0,-7.440364,36.9,0.000477,0.0,-0.053749,99.6,CN1C(=CN=C1C1=NC=C(C=O)N1C)C=O,"[7, 4]",[]
3,5.021782,25.0,-6.130649,41.7,0.010223,15.9,-2.071449,57.5,CNC(=S)NN=CC1=CNC(=N1)C,"[3, 11, 5]","[{'functional_group': 'carbonyl', 'smiles_inds': [1]}]"
3,5.428985,27.0,-3.363078,57.5,0.018242,26.2,-4.239107,31.3,O=C([O-])c1ncccc1OC(=O)C1CC2CC1C=C2,"[2, 4]",[]
3,5.500658,27.8,-10.936374,25.0,0.572389,92.1,-4.770531,26.6,O=C1NC=NN1,[4],[]
3,5.835116,29.8,-2.072865,70.2,0.008167,13.9,-4.792915,26.6,Brc1ccc(Sc2ccccn2)[c-]c1,"[12, 11]",[]
